Afghanistan	Delays Expected
Albania	Delays Expected
Algeria	Delays Expected
Andorra	Delays Expected
Angola	Delays Expected
Anguilla	Delays Expected
Antigua and Barbuda	Delays Expected
Argentina	Delays Expected
Armenia	Delays Expected
Aruba	Delays Expected
Australia	Delays Expected
Austria	Delays Expected
Azerbaijan	Delays Expected
Bahamas	Delays Expected
Bahrain	Delays Expected
Bangladesh	Delays Expected
Barbados	Delays Expected
Belarus	Delays Expected
Belgium	Delays Expected
Belize	Delays Expected
Benin	Delays Expected
Bermuda	Temporarily Suspended
Bhutan	Temporarily Suspended
Bolivia	Temporarily Suspended
Bosnia and Herzegovina	Delays Expected
Botswana	Temporarily Suspended
Brazil	Delays Expected
Brunei	Temporarily Suspended
Bulgaria	Delays Expected
Burkina Faso	Delays Expected
Burundi	Delays Expected
Cambodia	Delays Expected
Cameroon	Delays Expected
Canada	Delays Expected
Cape Verde	Delays Expected
Cayman Islands	Temporarily Suspended
Central African Republic	Delays Expected
Chad	Delays Expected
Chile	Delays Expected
China	Delays Expected
Colombia	Delays Expected
Comoros	Delays Expected
Congo, Republic	Delays Expected
Congo, Democratic Rep	Delays Expected
Cook Islands	Delays Expected
Costa Rica	Delays Expected
Cote d'Ivoire	Delays Expected
Croatia	Delays Expected
Cuba	Delays Expected
Curacao	Delays Expected
Cyprus	Delays Expected
Czech Republic	Delays Expected
Denmark	Delays Expected
Djibouti	Delays Expected
Dominica	Temporarily Suspended
Dominican Republic	Temporarily Suspended
East Timor (Timor-Leste)	Delays Expected
Ecuador	Delays Expected
Egypt	Delays Expected
El Salvador	Delays Expected
Equatorial Guinea	Delays Expected
Eritrea	Delays Expected
Estonia	Delays Expected
Ethiopia	Delays Expected
Faroe Island	Delays Expected
Fiji	Delays Expected
Finland	Delays Expected
France	Delays Expected
French Guiana	Delays Expected
French Polynesia	Delays Expected
Gabon	Delays Expected
Gambia	Delays Expected
Georgia	Delays Expected
Germany	Delays Expected
Ghana	Delays Expected
Greece	Delays Expected
Grenada	Delays Expected
Guadeloupe	Delays Expected
Guatemala	Delays Expected
Guinea	Delays Expected
Guinea-Bissau	Delays Expected
Guyana	Delays Expected
Haiti	Delays Expected
Honduras	Delays Expected
Hong Kong	Delays Expected
Hungary	Delays Expected
Iceland	Delays Expected
India	Delays Expected
Indonesia	Delays Expected
Iraq	Delays Expected
Ireland	Delays Expected
Israel	Delays Expected
Italy	Delays Expected
Jamaica	Delays Expected
Japan	Delays Expected
Jordan	Delays Expected
Kazakhstan	Delays Expected
Kenya	Delays Expected
Kiribati	Delays Expected
Korea, South	Delays Expected
Kosovo	Delays Expected
Kuwait	Delays Expected
Kyrgyzstan	Delays Expected
Laos	Delays Expected
Latvia	Delays Expected
Lebanon	Delays Expected
Lesotho	Delays Expected
Liberia	Delays Expected
Libya	Temporarily Suspended
Liechtenstein	Delays Expected
Lithuania	Delays Expected
Luxembourg	Delays Expected
Macau	Delays Expected
Macedonia	Delays Expected
Madagascar	Delays Expected
Malawi	Delays Expected
Malaysia	Delays Expected
Maldives	Delays Expected
Mali	Delays Expected
Malta	Delays Expected
Marshall Islands	Delays Expected
Martinique	Delays Expected
Mauritania	Delays Expected
Mauritius	Delays Expected
Mexico	Delays Expected
Micronesia	Delays Expected
Moldova	Delays Expected
Monaco	Delays Expected
Mongolia	Delays Expected
Montenegro	Delays Expected
Morocco	Delays Expected
Mozambique	Delays Expected
Myanmar (Burma)	Delays Expected
Namibia	Delays Expected
Nauru	Delays Expected
Nepal	Delays Expected
Netherlands	Delays Expected
Netherlands Antilles	Delays Expected
New Caledonia	Delays Expected
New Guinea	Delays Expected
New Zealand	Delays Expected
Nicaragua	Delays Expected
Niger	Delays Expected
Nigeria	Delays Expected
North Macedonia	Delays Expected
Norway	Delays Expected
Oman	Delays Expected
Pakistan	Delays Expected
Palau	Delays Expected
Panama	Delays Expected
Papua New Guinea	Temporarily Suspended
Paraguay	Delays Expected
Peru	Delays Expected
Philippines	Delays Expected
Poland	Delays Expected
Portugal	Delays Expected
Qatar	Delays Expected
Reunion	Delays Expected
Romania	Delays Expected
Russia	Delays Expected
Rwanda	Delays Expected
Saint Kitts and Nevis	Delays Expected
Saint Lucia	Delays Expected
Saint Martin	Delays Expected
St Pierre &t Miquelon	Delays Expected
Saint Vincent Grenadines	Delays Expected
Samoa	Delays Expected
Samoa (Western)	Delays Expected
San Marino	Delays Expected
Sao Tome and Principe	Delays Expected
Saudi Arabia	Delays Expected
Senegal	Delays Expected
Serbia	Delays Expected
Seychelles	Delays Expected
Sierra Leone	Delays Expected
Singapore	Delays Expected
Slovakia	Delays Expected
Slovenia	Delays Expected
Solomon Islands	Delays Expected
Somalia	Delays Expected
South Africa	Delays Expected
Sudan	Delays Expected
Sudan(South)	Temporarily Suspended
Spain	Delays Expected
Sri Lanka	Delays Expected
Suriname	Delays Expected
Swaziland/Eswatini	Delays Expected
Sweden	Delays Expected
Switzerland	Delays Expected
Syria (SAR)	Temporarily Suspended
Taiwan	Delays Expected
Tajikistan	Temporarily Suspended
Tanzania	Delays Expected
Thailand	Delays Expected
Togo	Delays Expected
Tonga	Delays Expected
Trinidad and Tobago	Delays Expected
Tunisia	Delays Expected
Turkey	Delays Expected
Turks & Caicos Is	Delays Expected
Turkmenistan	Delays Expected
Tuvalu	Delays Expected
Uganda	Delays Expected
Ukraine	Delays Expected
United Arab Emirates	Delays Expected
United Kingdom	Delays Expected
United States of America	Delays Expected
Uruguay	Delays Expected
Uzbekistan	Delays Expected
Vanuatu	Delays Expected
Vatican City	Delays Expected
Venezuela	Delays Expected
Vietnam	Delays Expected
Virgin Islands British	Delays Expected
Yemen	Temporarily Suspended
Zambia	Delays Expected
Zimbabwe	Temporarily Suspended